SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,language,list,trialID,trial,trialType,phase,extra
107941240,0.485213518,0.510701895,1,0.481201887,0.499622166,1,3.554138184,1,0.489225179,0.521781683,1,3.669723511,1,1,spa,1,7,1,NA,prime,zapato
107941248,0.482855558,0.506449997,1,0.480349749,0.499384612,1,3.568832397,1,0.485361367,0.513515353,1,3.649047852,1,1,spa,1,7,1,NA,prime,zapato
107941256,0.479870707,0.491195738,1,0.474148154,0.477753311,1,3.535095215,1,0.485593259,0.504638195,1,3.605667114,1,1,spa,1,7,1,NA,prime,zapato
107941264,0.48344183,0.494968534,1,0.47798717,0.453655183,1,3.650115967,1,0.488896489,0.536281884,1,3.639801025,1,1,spa,1,7,1,NA,prime,zapato
107941272,0.490021229,0.494427323,1,0.483581245,0.486012757,1,3.555770874,1,0.496461213,0.50284189,1,3.579925537,1,1,spa,1,7,1,NA,prime,zapato
107941280,0.484629691,0.506314576,1,0.478253782,0.497024089,1,3.570907593,1,0.49100557,0.515605032,1,3.593429565,1,1,spa,1,7,1,NA,prime,zapato
107941288,0.481018543,0.464661479,1,0.477529794,0.427833825,1,3.397537231,1,0.484507263,0.501489103,1,3.59715271,1,1,spa,1,7,1,NA,prime,zapato
107941296,0.484912753,0.463234097,1,0.484629244,0.383358896,1,3.301498413,1,0.485196292,0.543109298,1,3.625946045,1,1,spa,1,7,1,NA,prime,zapato
107941304,0.483813852,0.48764509,1,0.479756176,0.461346209,1,3.47467041,1,0.487871528,0.51394397,1,3.624191284,1,1,spa,1,7,1,NA,prime,zapato
107941312,0.483403563,0.472051144,1,0.479726791,0.440690815,1,3.659072876,1,0.487080365,0.503411472,1,3.643127441,1,1,spa,1,7,1,NA,prime,zapato
107941320,0.483826846,0.430224657,1,0.479270071,0.345454484,1,3.432952881,1,0.488383621,0.51499486,1,3.61769104,1,1,spa,1,7,1,NA,prime,zapato
107941328,0.481578022,0.469142675,1,0.478228301,0.398962349,1,3.53352356,1,0.484927744,0.539323032,1,3.609588623,1,1,spa,1,7,1,NA,prime,zapato
107941336,0.48426652,0.507995725,1,0.48349157,0.508471072,1,3.567657471,1,0.48504144,0.507520437,1,3.658752441,1,1,spa,1,7,1,NA,prime,zapato
107941344,0.486979991,0.505459845,1,0.483543754,0.484204888,1,3.5234375,1,0.490416229,0.526714802,1,3.652511597,1,1,spa,1,7,1,NA,prime,zapato
107941352,0.482827485,0.496156216,1,0.47871384,0.485961705,1,3.523254395,1,0.486941159,0.506350696,1,3.662521362,1,1,spa,1,7,1,NA,prime,zapato
107941360,0.485021949,0.500180244,1,0.482018739,0.482850134,1,3.507659912,1,0.488025188,0.517510295,1,3.609191895,1,1,spa,1,7,1,NA,prime,zapato
107941368,0.48899895,0.485989839,1,0.48951453,0.453179419,1,3.417236328,1,0.48848334,0.518800259,1,3.630340576,1,1,spa,1,7,1,NA,prime,zapato
107941384,0.48686105,0.492147088,1,0.48633495,0.500710905,1,3.532028198,1,0.48738718,0.483583301,1,3.655685425,1,1,spa,1,7,1,NA,prime,zapato
107941392,0.48665309,0.499173582,1,0.486235768,0.502397239,1,3.512527466,1,0.487070441,0.495949924,1,3.638916016,1,1,spa,1,7,1,NA,prime,zapato
107941400,0.488883376,0.483760417,1,0.486040801,0.461690247,1,3.434753418,1,0.491725981,0.505830586,1,3.589431763,1,1,spa,1,7,1,NA,prime,zapato
107941408,0.48614344,0.494147003,1,0.484305441,0.491297573,1,3.486984253,1,0.487981439,0.496996403,1,3.59979248,1,1,spa,1,7,1,NA,prime,zapato
107941416,0.488099694,0.468563497,1,0.485859513,0.449924529,1,3.379425049,1,0.490339875,0.487202436,1,3.598861694,1,1,spa,1,7,1,NA,prime,zapato
107941424,0.483240664,0.494466305,1,0.479260951,0.495006025,1,3.470199585,1,0.487220377,0.493926555,1,3.626556396,1,1,spa,1,7,1,NA,prime,zapato
107941432,0.489211798,0.470891416,1,0.481829554,0.490251809,1,3.473678589,1,0.496594042,0.451531053,1,3.526977539,1,1,spa,1,7,1,NA,prime,zapato
107941440,0.485740066,0.497382283,1,0.484598815,0.48714748,1,3.457992554,1,0.486881286,0.507617056,1,3.56362915,1,1,spa,1,7,1,NA,prime,zapato
107941448,0.483313024,0.490250707,1,0.486200094,0.482606351,1,3.443878174,1,0.480425924,0.497895092,1,3.60458374,1,1,spa,1,7,1,NA,prime,zapato
107941456,0.483416498,0.503266871,1,0.482134908,0.506368399,1,3.491943359,1,0.484698057,0.500165343,1,3.595306396,1,1,spa,1,7,1,NA,prime,zapato
107941464,,,0.5,0.479761183,0.428566813,1,3.295806885,1,,,0,,0,1,spa,1,7,1,NA,prime,zapato
107941472,0.485888839,0.501488388,1,0.486447722,0.515571117,1,3.508255005,1,0.485329956,0.487405658,1,3.42388916,1,1,spa,1,7,1,NA,prime,zapato
107941480,0.483847886,0.494275033,1,0.482358426,0.479131967,1,3.425964355,1,0.485337347,0.50941813,1,3.50692749,1,1,spa,1,7,1,NA,prime,zapato
107941488,0.486087054,0.524815142,1,0.483597308,0.495724648,1,3.460586548,1,0.4885768,0.553905606,1,3.365936279,1,1,spa,1,7,1,NA,prime,zapato
107941496,0.485411406,0.512941837,1,0.483331323,0.459751427,1,3.382568359,1,0.487491459,0.566132307,1,3.399551392,1,1,spa,1,7,1,NA,prime,zapato
