"participant","id_db","date_test","lp","doe_catalan","doe_spanish","doe_others","age_group","test_language","list","version","filename"
"cognatepriming121","57666",2022-02-21,"Monolingual",1,0,0,"30 months","Catalan",3,"ll","CognatePriming_121_2022-02-21.csv"
"cognatepriming107","58328",2022-02-21,"Monolingual",1,0,0,"30 months","Catalan",1,"ll","CognatePriming_107_2022-02-21.csv"
"cognatepriming159","58262",2022-02-23,"Bilingual",0.65,0.35,0,"21 months","Catalan",2,"ll","CognatePriming_159_2022-02-23.csv"
"cognatepriming160","58681",2022-02-28,"Bilingual",0.63,0.37,0,"21 months","Catalan",1,"ll","CognatePriming_160_2022-02-28.csv"
"cognatepriming161","58304",2022-03-01,"Bilingual",0.41,0.59,0,"21 months","Spanish",3,"euro","CognatePriming_161_2022-03-01_2.csv"
"cognatepriming162","58550",2022-03-03,"Bilingual",0.42,0.45,0.13,"25 months","Catalan",3,"ll","CognatePriming_162_2022-03-03.csv"
"cognatepriming163","58096",2022-03-03,"Bilingual",0.4,0.6,0,"25 months","Spanish",1,"euro","CognatePriming_163_2022-03-03.csv"
"cognatepriming164","58435",2022-03-07,"Monolingual",0.8,0.2,0,"21 months","Catalan",2,"ll","CognatePriming_164_2022-03-07_1.csv"
"cognatepriming165","58173",2022-03-08,"Bilingual",0.33,0.63,0,"21 months","Spanish",3,"euro","CognatePriming_165_2022-03-08.csv"
"cognatepriming166","58394",2022-03-08,"Bilingual",0.6,0.4,0,"21 months","Catalan",1,"ll","CognatePriming_166_2022-03-08.csv"
"cognatepriming167","58335",2022-03-09,"Bilingual",0.7,0.24,0,"21 months","Catalan",1,"ll","CognatePriming_167_2022-03-09.csv"
"cognatepriming168","57983",2022-03-09,"Bilingual",0.27,0.73,0,"25 months","Spanish",2,"euro","CognatePriming_168_2022-03-09_1.csv"
"cognatepriming169","58172",2022-03-10,"Bilingual",0.3,0.7,0,"25 months","Catalan",3,"ll","CognatePriming_169_2022-03-10.csv"
"cognatepriming170","58079",2022-03-11,"Bilingual",0.3,0.53,0,"25 months","Spanish",2,"euro","CognatePriming_170_2022-03-11_1.csv"
"cognatepriming117","57642",2022-03-11,"Bilingual",0.48,0.52,0,"30 months","Spanish",1,"euro","CognatePriming_117_2022-03-11_1.csv"
"cognatepriming171","58132",2022-03-14,"Monolingual",0.19,0.81,0,"25 months","Catalan",2,"ll","CognatePriming_171_2022-03-14.csv"
"cognatepriming145","58310",2022-03-14,"Bilingual",0.26,0.74,0,"25 months","Catalan",2,"ll","CognatePriming_145_2022-03-14.csv"
"cognatepriming172","58128",2022-03-15,"Monolingual",0.83,0.17,0,"25 months","Spanish",3,"euro","CognatePriming_172_2022-03-15.csv"
"cognatepriming173","58093",2022-03-18,"Monolingual",1,0,0,"25 months","Catalan",2,"ll","CognatePriming_173_2022-03-18_1.csv"
"cognatepriming174","58176",2022-03-19,"Bilingual",0.57,0.43,0,"25 months","Catalan",1,"ll","CognatePriming_174_2022-03-19.csv"
"cognatepriming175","58165",2022-03-22,"Bilingual",0.7,0.3,0,"25 months","Catalan",3,"ll","CognatePriming_175_2022-03-22.csv"
"cognatepriming176","58068",2022-03-22,"Monolingual",0.96,0.04,0,"25 months","Spanish",2,"euro","CognatePriming_176_2022-03-22.csv"
"cognatepriming177","58137",2022-03-23,"Bilingual",0.48,0.52,0,"25 months","Catalan",2,"ll","CognatePriming_177_2022-03-23.csv"
"cognatepriming178","58720",2022-03-23,"Bilingual",0.73,0.27,0,"25 months","Catalan",1,"ll","CognatePriming_178_2022-03-23_1.csv"
"cognatepriming179","58523",2022-03-28,"Bilingual",0.38,0.62,0,"21 months","Spanish",3,"euro","CognatePriming_179_2022-03-28.csv"
"cognatepriming142","58190",2022-03-31,"Bilingual",0.54,0.43,0,"25 months","Catalan",2,"ll","CognatePriming_142_2022-03-31.csv"
"cognatepriming180","58109",2022-04-02,"Monolingual",0.19,0.81,0,"25 months","Spanish",2,"euro","CognatePriming_180_2022-04-02.csv"
"cognatepriming114","57566",2022-04-04,"Monolingual",0.17,0.83,0,"30 months","Spanish",2,"euro","CognatePriming_114_2022-04-04.csv"
"cognatepriming182","58299",2022-05-17,"Monolingual",0.97,0.03,0,"21 months","Catalan",2,"ll","CognatePriming_182_2022-05-17.csv"
"cognatepriming128","57742",2022-05-18,"Bilingual",0.76,0.22,0.02,"30 months","Catalan",3,"ll","CognatePriming_128_2022-05-18.csv"
"cognatepriming183","58298",2022-05-20,"Monolingual",0.99,0.01,0,"25 months","Catalan",1,"ll","CognatePriming_183_2022-05-20.csv"
"cognatepriming184","58256",2022-05-20,"Bilingual",0.68,0.32,0,"25 months","Catalan",2,"ll","CognatePriming_184_2022-05-20.csv"
"cognatepriming127","57670",2022-05-23,"Monolingual",0.18,0.82,0,"30 months","Spanish",2,"euro","CognatePriming_127_2022-05-23.csv"
"cognatepriming154","57914",2022-05-24,"Monolingual",0.87,0.13,0,"30 months","Catalan",2,"ll","CognatePriming_154_2022-05-24_1.csv"
