"participant","age_group","lp","vocab_size_total","vocab_size_l1","vocab_size_conceptual","is_imputed"
"cognatepriming155","30 months","Bilingual",0.7763713080168776,0.7631578947368421,0.8432432432432433,false
"cognatepriming137","30 months","Bilingual",0.9673495518565941,0.7735849056603774,0.8771929824561403,true
"cognatepriming136","30 months","Bilingual",0.2830985915492958,0.34195402298850575,0.34324324324324323,true
"cognatepriming146","30 months","Monolingual",0.9177126917712691,0.9190751445086706,0.9381720430107527,false
"cognatepriming187","30 months","Monolingual",0.9605633802816902,0.8053097345132744,0.9021329987452948,true
"cognatepriming188","21 months","Monolingual",0.26582278481012656,0.5121951219512195,0.5108108108108108,false
"cognatepriming147","30 months","Monolingual",0.9422535211267605,0.9351032448377581,0.9595687331536388,false
"cognatepriming153","30 months","Monolingual",0.3793584379358438,0.3665768194070081,0.44086021505376344,false
"cognatepriming190","25 months","Bilingual",0.703012912482066,0.8051575931232091,0.8257142857142857,false
"cognatepriming191","30 months","Monolingual",0.9349593495934959,0.8706896551724138,0.9378378378378378,true
"cognatepriming192","30 months","Bilingual",0.3486750348675035,0.12643678160919541,0.22162162162162163,true
