"profile"	"language"	"ID"	"TimeBin"	"trialType"	"SamplesInAOI"	"SamplesTotal"	"Prop"	"Time"
"780"	"monolingual"	"spa"	"cognatepriming5"	19	"cognate"	24	42	57.1428571428571	950
"781"	"monolingual"	"spa"	"cognatepriming5"	20	"unrelated"	33	63	52.3809523809524	1000
"782"	"monolingual"	"spa"	"cognatepriming5"	20	"noncognate"	12	24	50	1000
"783"	"monolingual"	"spa"	"cognatepriming5"	20	"cognate"	26	35	74.2857142857143	1000
"784"	"monolingual"	"spa"	"cognatepriming5"	21	"unrelated"	30	60	50	1050
"785"	"monolingual"	"spa"	"cognatepriming5"	21	"noncognate"	16	22	72.7272727272727	1050
"786"	"monolingual"	"spa"	"cognatepriming5"	21	"cognate"	30	37	81.0810810810811	1050
"787"	"monolingual"	"spa"	"cognatepriming5"	22	"unrelated"	30	60	50	1100
"788"	"monolingual"	"spa"	"cognatepriming5"	22	"noncognate"	18	23	78.2608695652174	1100
"789"	"monolingual"	"spa"	"cognatepriming5"	22	"cognate"	31	38	81.5789473684211	1100
"790"	"monolingual"	"spa"	"cognatepriming5"	23	"unrelated"	30	58	51.7241379310345	1150
"791"	"monolingual"	"spa"	"cognatepriming5"	23	"noncognate"	22	22	100	1150
"792"	"monolingual"	"spa"	"cognatepriming5"	23	"cognate"	36	42	85.7142857142857	1150
"793"	"monolingual"	"spa"	"cognatepriming5"	24	"unrelated"	34	61	55.7377049180328	1200
"794"	"monolingual"	"spa"	"cognatepriming5"	24	"noncognate"	24	24	100	1200
"795"	"monolingual"	"spa"	"cognatepriming5"	24	"cognate"	36	42	85.7142857142857	1200
"796"	"monolingual"	"spa"	"cognatepriming5"	25	"unrelated"	36	66	54.5454545454545	1250
"797"	"monolingual"	"spa"	"cognatepriming5"	25	"noncognate"	24	24	100	1250
"798"	"monolingual"	"spa"	"cognatepriming5"	25	"cognate"	36	42	85.7142857142857	1250
"799"	"monolingual"	"spa"	"cognatepriming5"	26	"unrelated"	36	66	54.5454545454545	1300
"800"	"monolingual"	"spa"	"cognatepriming5"	26	"noncognate"	22	22	100	1300
"801"	"monolingual"	"spa"	"cognatepriming5"	26	"cognate"	36	42	85.7142857142857	1300
"802"	"monolingual"	"spa"	"cognatepriming5"	27	"unrelated"	36	66	54.5454545454545	1350
"803"	"monolingual"	"spa"	"cognatepriming5"	27	"noncognate"	23	23	100	1350
"804"	"monolingual"	"spa"	"cognatepriming5"	27	"cognate"	36	42	85.7142857142857	1350
"805"	"monolingual"	"spa"	"cognatepriming5"	28	"unrelated"	32	64	50	1400
"806"	"monolingual"	"spa"	"cognatepriming5"	28	"noncognate"	24	24	100	1400
"807"	"monolingual"	"spa"	"cognatepriming5"	28	"cognate"	36	42	85.7142857142857	1400
"808"	"monolingual"	"spa"	"cognatepriming5"	29	"unrelated"	30	66	45.4545454545455	1450
"809"	"monolingual"	"spa"	"cognatepriming5"	29	"noncognate"	21	21	100	1450
"810"	"monolingual"	"spa"	"cognatepriming5"	29	"cognate"	36	42	85.7142857142857	1450
"811"	"monolingual"	"spa"	"cognatepriming5"	30	"unrelated"	30	66	45.4545454545455	1500
"812"	"monolingual"	"spa"	"cognatepriming5"	30	"noncognate"	18	23	78.2608695652174	1500
"813"	"monolingual"	"spa"	"cognatepriming5"	30	"cognate"	36	42	85.7142857142857	1500
"814"	"monolingual"	"spa"	"cognatepriming5"	31	"unrelated"	28	64	43.75	1550
"815"	"monolingual"	"spa"	"cognatepriming5"	31	"noncognate"	18	24	75	1550
"816"	"monolingual"	"spa"	"cognatepriming5"	31	"cognate"	36	42	85.7142857142857	1550
"817"	"monolingual"	"spa"	"cognatepriming5"	32	"unrelated"	24	65	36.9230769230769	1600
"818"	"monolingual"	"spa"	"cognatepriming5"	32	"noncognate"	18	24	75	1600
"819"	"monolingual"	"spa"	"cognatepriming5"	32	"cognate"	36	42	85.7142857142857	1600
"820"	"monolingual"	"spa"	"cognatepriming5"	33	"unrelated"	24	66	36.3636363636364	1650
"821"	"monolingual"	"spa"	"cognatepriming5"	33	"noncognate"	18	24	75	1650
"822"	"monolingual"	"spa"	"cognatepriming5"	33	"cognate"	34	40	85	1650
"823"	"monolingual"	"spa"	"cognatepriming5"	34	"unrelated"	24	66	36.3636363636364	1700
"824"	"monolingual"	"spa"	"cognatepriming5"	34	"noncognate"	18	24	75	1700
